store_id,sku_id,stock_on_hand,reorder_point,safety_stock,last_restock_date
STORE005,SKU00001,215.0,45,22,2025-11-20
STORE015,SKU00002,0.0,92,26,2025-10-15
STORE008,SKU00002,0.0,111,35,2025-10-15
STORE024,SKU00002,0.0,96,25,2025-10-15
STORE028,SKU00002,0.0,60,29,2025-10-15
STORE014,SKU00002,0.0,69,29,2025-10-15
STORE012,SKU00002,0.0,89,48,2025-10-15
STORE005,SKU00002,0.0,101,46,2025-10-15
STORE016,SKU00002,0.0,109,41,2025-10-15
STORE003,SKU00002,0.0,60,26,2025-10-15
STORE023,SKU00002,0.0,58,24,2025-10-15
STORE006,SKU00002,0.0,78,33,2025-10-15
STORE030,SKU00002,0.0,105,34,2025-10-15
STORE020,SKU00002,0.0,68,32,2025-10-15
STORE018,SKU00002,0.0,106,43,2025-10-15
STORE005,SKU00003,230.4,25,10,2025-11-20
STORE024,SKU00003,100.8,25,10,2025-11-20
STORE025,SKU00003,69.9,25,10,2025-11-20
STORE026,SKU00003,13.0,25,10,2025-11-20
STORE001,SKU00004,148.0,27,12,2025-11-20
STORE020,SKU00005,5.8,25,10,2025-11-20
STORE004,SKU00005,194.9,25,10,2025-11-20
STORE013,SKU00005,89.0,25,10,2025-11-20
STORE001,SKU00005,119.3,25,10,2025-11-20
STORE027,SKU00005,2.0,25,10,2025-11-20
STORE001,SKU00006,366.8,25,10,2025-11-20
STORE025,SKU00006,187.0,25,10,2025-11-20
STORE027,SKU00006,25.0,25,10,2025-11-20
STORE021,SKU00006,21.0,25,10,2025-11-20
STORE030,SKU00006,21.2,25,10,2025-11-20
STORE002,SKU00007,28.5,27,12,2025-11-20
STORE005,SKU00007,58.5,27,12,2025-11-20
STORE008,SKU00008,0.0,79,44,2025-10-15
STORE009,SKU00009,52.8,25,10,2025-11-20
STORE005,SKU00009,32.2,25,10,2025-11-20
STORE021,SKU00010,0.0,69,39,2025-10-15
STORE026,SKU00011,3.0,25,10,2025-11-20
STORE001,SKU00012,0.0,130,50,2025-10-15
STORE004,SKU00013,95.2,25,10,2025-11-20
STORE018,SKU00013,218.8,25,10,2025-11-20
STORE024,SKU00014,33.0,25,10,2025-11-20
STORE027,SKU00015,79.0,31,15,2025-11-20
STORE011,SKU00016,92.6,39,19,2025-11-20
STORE028,SKU00016,13.4,39,19,2025-11-20
STORE023,SKU00017,34.3,25,10,2025-11-20
STORE003,SKU00017,42.7,25,10,2025-11-20
STORE007,SKU00018,6.0,25,10,2025-11-20
STORE005,SKU00018,118.3,25,10,2025-11-20
STORE016,SKU00018,23.7,25,10,2025-11-20
STORE025,SKU00019,120.0,46,23,2025-11-20
STORE019,SKU00020,0.0,104,40,2025-10-15
STORE029,SKU00020,0.0,54,23,2025-10-15
STORE015,SKU00020,0.0,78,46,2025-10-15
STORE027,SKU00020,0.0,87,23,2025-10-15
STORE006,SKU00020,0.0,65,29,2025-10-15
STORE010,SKU00020,0.0,92,36,2025-10-15
STORE011,SKU00020,0.0,54,24,2025-10-15
STORE016,SKU00020,0.0,93,49,2025-10-15
STORE005,SKU00020,0.0,64,20,2025-10-15
STORE008,SKU00020,0.0,87,33,2025-10-15
STORE002,SKU00020,0.0,76,24,2025-10-15
STORE018,SKU00020,0.0,88,40,2025-10-15
STORE009,SKU00020,0.0,100,27,2025-10-15
STORE013,SKU00021,118.1,25,10,2025-11-20
STORE022,SKU00021,133.9,25,10,2025-11-20
STORE029,SKU00022,0.0,79,42,2025-10-15
STORE016,SKU00023,20.0,25,10,2025-11-20
STORE006,SKU00024,99.0,25,10,2025-11-20
STORE004,SKU00024,28.0,25,10,2025-11-20
STORE008,SKU00024,314.1,25,10,2025-11-20
STORE029,SKU00024,158.1,25,10,2025-11-20
STORE010,SKU00024,35.5,25,10,2025-11-20
STORE012,SKU00024,186.3,25,10,2025-11-20
STORE003,SKU00024,9.5,25,10,2025-11-20
STORE020,SKU00024,654.1,25,10,2025-11-20
STORE011,SKU00024,81.6,25,10,2025-11-20
STORE027,SKU00024,296.0,25,10,2025-11-20
STORE025,SKU00024,101.8,25,10,2025-11-20
STORE024,SKU00024,200.0,25,10,2025-11-20
STORE002,SKU00024,215.6,25,10,2025-11-20
STORE005,SKU00024,55.7,25,10,2025-11-20
STORE030,SKU00024,951.7,25,10,2025-11-20
STORE007,SKU00024,406.6,25,10,2025-11-20
STORE009,SKU00024,764.3,25,10,2025-11-20
STORE016,SKU00024,613.7,25,10,2025-11-20
STORE026,SKU00024,248.2,25,10,2025-11-20
STORE019,SKU00024,694.7,25,10,2025-11-20
STORE015,SKU00024,25.2,25,10,2025-11-20
STORE022,SKU00024,59.4,25,10,2025-11-20
STORE017,SKU00024,12.6,25,10,2025-11-20
STORE028,SKU00024,107.2,25,10,2025-11-20
STORE014,SKU00024,134.1,25,10,2025-11-20
STORE012,SKU00025,26.7,25,10,2025-11-20
STORE029,SKU00025,149.0,25,10,2025-11-20
STORE004,SKU00025,37.3,25,10,2025-11-20
STORE009,SKU00026,81.0,25,10,2025-11-20
STORE030,SKU00027,170.8,26,11,2025-11-20
STORE016,SKU00027,33.2,26,11,2025-11-20
STORE022,SKU00028,80.0,25,10,2025-11-20
STORE012,SKU00028,3.8,25,10,2025-11-20
STORE030,SKU00028,214.1,25,10,2025-11-20
STORE009,SKU00028,73.1,25,10,2025-11-20
STORE026,SKU00029,0.0,124,49,2025-10-15
STORE026,SKU00030,80.0,25,10,2025-11-20
STORE003,SKU00030,2.0,25,10,2025-11-20
STORE026,SKU00031,148.7,25,10,2025-11-20
STORE001,SKU00031,107.9,25,10,2025-11-20
STORE028,SKU00031,114.9,25,10,2025-11-20
STORE030,SKU00031,129.8,25,10,2025-11-20
STORE005,SKU00031,6.8,25,10,2025-11-20
STORE025,SKU00032,19.5,25,10,2025-11-20
STORE021,SKU00032,5.4,25,10,2025-11-20
STORE005,SKU00032,87.1,25,10,2025-11-20
STORE011,SKU00033,136.0,25,10,2025-11-20
STORE005,SKU00034,116.9,25,10,2025-11-20
STORE013,SKU00034,19.1,25,10,2025-11-20
STORE015,SKU00035,37.4,25,10,2025-11-20
STORE024,SKU00035,39.5,25,10,2025-11-20
STORE026,SKU00035,131.5,25,10,2025-11-20
STORE028,SKU00035,102.0,25,10,2025-11-20
STORE016,SKU00035,219.3,25,10,2025-11-20
STORE003,SKU00035,64.2,25,10,2025-11-20
STORE004,SKU00036,134.0,76,38,2025-11-20
STORE019,SKU00037,155.7,25,10,2025-11-20
STORE014,SKU00037,178.3,25,10,2025-11-20
STORE024,SKU00038,18.0,27,12,2025-11-20
STORE009,SKU00039,147.7,25,10,2025-11-20
STORE005,SKU00039,68.2,25,10,2025-11-20
STORE003,SKU00039,74.1,25,10,2025-11-20
STORE011,SKU00040,101.0,25,10,2025-11-20
STORE005,SKU00041,22.6,25,10,2025-11-20
STORE006,SKU00041,100.4,25,10,2025-11-20
STORE025,SKU00042,0.0,84,32,2025-10-15
STORE011,SKU00043,107.0,41,20,2025-11-20
STORE016,SKU00044,152.3,25,10,2025-11-20
STORE014,SKU00044,56.8,25,10,2025-11-20
STORE023,SKU00044,106.9,25,10,2025-11-20
STORE014,SKU00045,80.3,25,10,2025-11-20
STORE020,SKU00045,9.7,25,10,2025-11-20
STORE026,SKU00046,75.2,25,10,2025-11-20
STORE021,SKU00046,200.5,25,10,2025-11-20
STORE011,SKU00046,37.0,25,10,2025-11-20
STORE005,SKU00046,11.4,25,10,2025-11-20
STORE026,SKU00047,20.6,25,10,2025-11-20
STORE021,SKU00047,10.6,25,10,2025-11-20
STORE030,SKU00047,160.2,25,10,2025-11-20
STORE008,SKU00047,99.6,25,10,2025-11-20
STORE013,SKU00048,109.1,25,10,2025-11-20
STORE014,SKU00048,222.9,25,10,2025-11-20
STORE018,SKU00049,50.0,29,14,2025-11-20
STORE016,SKU00050,0.8,25,10,2025-11-20
STORE018,SKU00050,8.8,25,10,2025-11-20
STORE029,SKU00050,3.1,25,10,2025-11-20
STORE030,SKU00050,6.5,25,10,2025-11-20
STORE028,SKU00050,9.0,25,10,2025-11-20
STORE026,SKU00050,1.5,25,10,2025-11-20
STORE008,SKU00050,0.5,25,10,2025-11-20
STORE013,SKU00050,1.0,25,10,2025-11-20
STORE003,SKU00050,2.2,25,10,2025-11-20
STORE019,SKU00050,6.8,25,10,2025-11-20
STORE014,SKU00050,7.8,25,10,2025-11-20
STORE017,SKU00051,123.0,25,10,2025-11-20
STORE019,SKU00052,186.8,25,10,2025-11-20
STORE025,SKU00052,141.2,25,10,2025-11-20
STORE023,SKU00052,65.6,25,10,2025-11-20
STORE026,SKU00052,33.4,25,10,2025-11-20
STORE024,SKU00052,107.6,25,10,2025-11-20
STORE008,SKU00052,748.1,25,10,2025-11-20
STORE028,SKU00052,102.0,25,10,2025-11-20
STORE003,SKU00052,191.1,25,10,2025-11-20
STORE029,SKU00052,317.2,25,10,2025-11-20
STORE012,SKU00052,118.1,25,10,2025-11-20
STORE001,SKU00052,932.2,25,10,2025-11-20
STORE007,SKU00052,857.6,25,10,2025-11-20
STORE020,SKU00052,75.8,25,10,2025-11-20
STORE021,SKU00052,179.7,25,10,2025-11-20
STORE016,SKU00052,93.5,25,10,2025-11-20
STORE027,SKU00052,87.6,25,10,2025-11-20
STORE002,SKU00052,9.8,25,10,2025-11-20
STORE018,SKU00052,245.7,25,10,2025-11-20
STORE006,SKU00052,182.5,25,10,2025-11-20
STORE017,SKU00052,13.8,25,10,2025-11-20
STORE015,SKU00052,85.3,25,10,2025-11-20
STORE005,SKU00052,624.2,25,10,2025-11-20
STORE015,SKU00053,60.0,25,10,2025-11-20
STORE005,SKU00054,0.0,111,46,2025-10-15
STORE030,SKU00055,0.0,105,49,2025-10-15
STORE008,SKU00056,3.5,25,10,2025-11-20
STORE007,SKU00056,15.0,25,10,2025-11-20
STORE027,SKU00056,94.5,25,10,2025-11-20
STORE008,SKU00057,30.0,25,10,2025-11-20
STORE002,SKU00058,149.0,25,10,2025-11-20
STORE024,SKU00059,286.5,25,10,2025-11-20
STORE005,SKU00059,54.2,25,10,2025-11-20
STORE004,SKU00059,260.3,25,10,2025-11-20
STORE023,SKU00060,79.5,26,11,2025-11-20
STORE005,SKU00060,173.5,26,11,2025-11-20
STORE013,SKU00061,159.2,25,10,2025-11-20
STORE024,SKU00061,121.7,25,10,2025-11-20
STORE001,SKU00061,15.0,25,10,2025-11-20
STORE023,SKU00062,43.6,25,10,2025-11-20
STORE014,SKU00062,9.3,25,10,2025-11-20
