sku_id,flag,affected_stores,window_start,window_end,notes
SKU00002,STOCKOUT_RISK,"STORE021, STORE004, STORE001, STORE024, STORE009, STORE008, STORE025, STORE005, STORE029, STORE018, STORE003, STORE019, STORE014, STORE002",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 14 stores.
SKU00020,STOCKOUT_RISK,"STORE001, STORE003, STORE007, STORE008, STORE017, STORE020, STORE030, STORE018, STORE028, STORE021, STORE023, STORE014, STORE027",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 13 stores.
SKU00024,SLOW_MOVER,"STORE015, STORE019, STORE009, STORE026, STORE001, STORE025, STORE006, STORE023, STORE014, STORE011, STORE028, STORE005, STORE007, STORE021, STORE004, STORE002, STORE018, STORE030, STORE024, STORE012, STORE010, STORE029, STORE027, STORE017, STORE016",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 7147.7 days of cover.
SKU00050,STOCKOUT_RISK,"STORE018, STORE004, STORE013, STORE003, STORE030, STORE010, STORE021, STORE020, STORE012, STORE019, STORE007",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 11 stores.
SKU00052,SLOW_MOVER,"STORE023, STORE003, STORE002, STORE022, STORE008, STORE025, STORE010, STORE029, STORE026, STORE004, STORE013, STORE009, STORE015, STORE012, STORE006, STORE016, STORE018, STORE021, STORE011, STORE005, STORE028, STORE030",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5804.2 days of cover.
SKU00062,STOCKOUT_RISK,"STORE018, STORE024, STORE008, STORE006, STORE015, STORE013, STORE009, STORE021, STORE030, STORE028, STORE011, STORE002, STORE023, STORE019, STORE020",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 15 stores.
SKU00066,SLOW_MOVER,"STORE013, STORE009, STORE003, STORE007, STORE019, STORE023, STORE011, STORE027, STORE021, STORE016, STORE030, STORE015, STORE005, STORE029, STORE018, STORE004, STORE012, STORE017, STORE020, STORE022",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5680.8 days of cover.
SKU00075,SLOW_MOVER,"STORE024, STORE019, STORE014, STORE029, STORE013, STORE012, STORE008, STORE005, STORE017, STORE016, STORE003, STORE002, STORE004, STORE023, STORE006, STORE026, STORE011, STORE007, STORE010, STORE027, STORE015",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 6268.5 days of cover.
SKU00079,STOCKOUT_RISK,"STORE013, STORE020, STORE015, STORE017, STORE009, STORE018, STORE001, STORE022, STORE004, STORE025, STORE026, STORE011, STORE023",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 13 stores.
SKU00090,SLOW_MOVER,"STORE010, STORE014, STORE006, STORE015, STORE001, STORE024, STORE025, STORE009, STORE017, STORE028, STORE022, STORE004, STORE030, STORE020, STORE007, STORE003, STORE021, STORE013, STORE027, STORE023, STORE011, STORE026, STORE029",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 8748.2 days of cover.
SKU00127,SLOW_MOVER,"STORE016, STORE001, STORE004, STORE012, STORE026, STORE010, STORE008, STORE002, STORE024, STORE019, STORE003, STORE020, STORE030, STORE021, STORE005, STORE017, STORE011, STORE022, STORE009",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5590.6 days of cover.
SKU00150,SLOW_MOVER,"STORE006, STORE009, STORE017, STORE020, STORE014, STORE007, STORE018, STORE023, STORE025, STORE010, STORE013, STORE012, STORE015, STORE028, STORE024, STORE002",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 5214.0 days of cover.
SKU00155,SLOW_MOVER,"STORE008, STORE030, STORE003, STORE011, STORE001, STORE019, STORE018, STORE029, STORE025, STORE023, STORE026, STORE028, STORE002, STORE021, STORE022, STORE015, STORE020, STORE006, STORE024, STORE009, STORE004, STORE005, STORE017, STORE012, STORE027, STORE007, STORE010, STORE014, STORE013",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 8507.6 days of cover.
SKU00167,SLOW_MOVER,"STORE026, STORE014, STORE007, STORE004, STORE027, STORE022, STORE029, STORE012, STORE024, STORE025, STORE015, STORE002, STORE030, STORE019, STORE013, STORE023, STORE006, STORE016, STORE017, STORE018, STORE011, STORE010, STORE008, STORE020, STORE009, STORE028, STORE003, STORE005, STORE001, STORE021",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 7965.0 days of cover.
SKU00169,STOCKOUT_RISK,"STORE015, STORE026, STORE028, STORE018, STORE004, STORE002, STORE021, STORE027, STORE001, STORE003, STORE008, STORE006, STORE014, STORE016",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 14 stores.
SKU00170,SLOW_MOVER,"STORE016, STORE007, STORE028, STORE013, STORE002, STORE006, STORE027, STORE001, STORE024, STORE009, STORE015, STORE010, STORE014, STORE030, STORE005, STORE004, STORE017, STORE020, STORE023, STORE019, STORE021, STORE012, STORE025, STORE011, STORE029, STORE018, STORE022, STORE003, STORE008",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 8289.0 days of cover.
SKU00177,STOCKOUT_RISK,"STORE002, STORE017, STORE003, STORE006, STORE028, STORE020, STORE026, STORE022, STORE008, STORE013, STORE004",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 11 stores.
SKU00186,SLOW_MOVER,"STORE029, STORE019, STORE008, STORE030, STORE020, STORE002, STORE026, STORE003, STORE014, STORE027, STORE021, STORE017, STORE011, STORE009, STORE007, STORE018, STORE012, STORE006, STORE004, STORE005",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 4855.3 days of cover.
SKU00190,STOCKOUT_RISK,"STORE013, STORE005, STORE022, STORE021, STORE010, STORE015, STORE011, STORE003, STORE001, STORE025, STORE020, STORE019, STORE004, STORE023, STORE007, STORE009, STORE029",2025-11-01,2025-12-31,High demand velocity item. Zero or depleted stock on hand across 17 stores.
SKU00237,SLOW_MOVER,"STORE005, STORE012, STORE003, STORE008, STORE029, STORE010, STORE006, STORE015, STORE018, STORE025, STORE020, STORE017, STORE001, STORE021, STORE004, STORE023, STORE028, STORE030",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 6703.9 days of cover.
SKU00240,SLOW_MOVER,"STORE004, STORE029, STORE030, STORE024, STORE018, STORE005, STORE009, STORE010, STORE020, STORE007, STORE011, STORE021, STORE027, STORE017, STORE016, STORE025, STORE014, STORE001, STORE002, STORE022, STORE019, STORE015, STORE013, STORE008, STORE003, STORE012, STORE006, STORE023",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 8977.9 days of cover.
SKU00251,SLOW_MOVER,"STORE024, STORE015, STORE018, STORE023, STORE014, STORE028, STORE001, STORE004, STORE003, STORE005, STORE025, STORE002, STORE012, STORE021, STORE026, STORE022, STORE030, STORE017, STORE006, STORE016, STORE020, STORE027, STORE009",2025-11-01,2025-12-31,Low demand velocity. Excess inventory carrying 7149.3 days of cover.
