store_id,store_name,city,store_type,opening_date
STORE001,Foresight Hypermarket - Karachi #01,Karachi,Hypermarket,2012-02-15
STORE002,Foresight Hypermarket - Lahore #02,Lahore,Hypermarket,2013-03-15
STORE003,Foresight Hypermarket - Islamabad #03,Islamabad,Hypermarket,2014-04-15
STORE004,Foresight Hypermarket - Rawalpindi #04,Rawalpindi,Hypermarket,2015-05-15
STORE005,Foresight Hypermarket - Faisalabad #05,Faisalabad,Hypermarket,2016-06-15
STORE006,Foresight Hypermarket - Multan #06,Multan,Hypermarket,2017-07-15
STORE007,Foresight Hypermarket - Peshawar #07,Peshawar,Hypermarket,2018-08-15
STORE008,Foresight Supermarket - Quetta #08,Quetta,Supermarket,2019-09-15
STORE009,Foresight Supermarket - Sukkur #09,Sukkur,Supermarket,2011-10-15
STORE010,Foresight Supermarket - Bahawalpur #10,Bahawalpur,Supermarket,2012-11-15
STORE011,Foresight Supermarket - Sialkot #11,Sialkot,Supermarket,2013-12-15
STORE012,Foresight Supermarket - Abbottabad #12,Abbottabad,Supermarket,2014-01-15
STORE013,Foresight Supermarket - Karachi #13,Karachi,Supermarket,2015-02-15
STORE014,Foresight Supermarket - Lahore #14,Lahore,Supermarket,2016-03-15
STORE015,Foresight Supermarket - Islamabad #15,Islamabad,Supermarket,2017-04-15
STORE016,Foresight Supermarket - Rawalpindi #16,Rawalpindi,Supermarket,2018-05-15
STORE017,Foresight Supermarket - Faisalabad #17,Faisalabad,Supermarket,2019-06-15
STORE018,Foresight Supermarket - Multan #18,Multan,Supermarket,2011-07-15
STORE019,Foresight Express Store - Peshawar #19,Peshawar,Express Store,2012-08-15
STORE020,Foresight Express Store - Quetta #20,Quetta,Express Store,2013-09-15
STORE021,Foresight Express Store - Sukkur #21,Sukkur,Express Store,2014-10-15
STORE022,Foresight Express Store - Bahawalpur #22,Bahawalpur,Express Store,2015-11-15
STORE023,Foresight Express Store - Sialkot #23,Sialkot,Express Store,2016-12-15
STORE024,Foresight Express Store - Abbottabad #24,Abbottabad,Express Store,2017-01-15
STORE025,Foresight Express Store - Karachi #25,Karachi,Express Store,2018-02-15
STORE026,Foresight Convenience Store - Lahore #26,Lahore,Convenience Store,2019-03-15
STORE027,Foresight Convenience Store - Islamabad #27,Islamabad,Convenience Store,2011-04-15
STORE028,Foresight Convenience Store - Rawalpindi #28,Rawalpindi,Convenience Store,2012-05-15
STORE029,Foresight Convenience Store - Faisalabad #29,Faisalabad,Convenience Store,2013-06-15
STORE030,Foresight Convenience Store - Multan #30,Multan,Convenience Store,2014-07-15
